Name,Type,County,pop_2020,pop_2010
Loma Linda,City,San Bernardino,"24,791","23,261"
Lomita,City,Los Angeles,"20,921","20,256"
Lompoc,City,Santa Barbara,"44,444","42,434"
Long Beach,City,Los Angeles,"466,742","462,257"
Loomis,Town,Placer,"6,836","6,430"
Los Alamitos,City,Orange,"11,780","11,449"
Los Altos,City,Santa Clara,"31,625","28,976"
Los Altos Hills,Town,Santa Clara,"8,489","7,922"
Los Angeles,City,Los Angeles,"3,898,747","3,792,621"
Los Banos,City,Merced,"45,532","35,972"
Los Gatos,Town,Santa Clara,"33,529","29,413"
Loyalton,City,Sierra,740,769
Lynwood,City,Los Angeles,"67,265","69,772"
Madera,City,Madera,"66,224","61,416"
Malibu,City,Los Angeles,"10,654","12,645"
Mammoth Lakes,Town,Mono,"7,191","8,234"
Manhattan Beach,City,Los Angeles,"35,506","35,135"
Manteca,City,San Joaquin,"83,498","67,096"
Maricopa,City,Kern,"1,026","1,154"
Marina,City,Monterey,"22,359","19,718"
Martinez,City,Contra Costa,"37,287","35,824"
Marysville,City,Yuba,"12,844","12,072"
Maywood,City,Los Angeles,"25,138","27,395"
McFarland,City,Kern,"14,161","12,707"
Mendota,City,Fresno,"12,595","11,014"
Menifee,City,Riverside,"102,527","77,519"
Menlo Park,City,San Mateo,"33,780","32,026"
Merced,City,Merced,"86,333","78,958"
Mill Valley,City,Marin,"14,231","13,903"
Millbrae,City,San Mateo,"23,216","21,532"
Milpitas,City,Santa Clara,"80,273","66,790"
Mission Viejo,City,Orange,"93,653","93,305"
Modesto,City,Stanislaus,"218,464","201,165"
Monrovia,City,Los Angeles,"37,931","36,590"
Montague,City,Siskiyou,"1,226","1,443"
Montclair,City,San Bernardino,"37,865","36,664"
Monte Sereno,City,Santa Clara,"3,479","3,341"
Montebello,City,Los Angeles,"62,640","62,500"
Monterey,City,Monterey,"30,218","27,810"
Monterey Park,City,Los Angeles,"61,096","60,269"
Moorpark,City,Ventura,"36,284","34,421"
Moraga,Town,Contra Costa,"16,870","16,016"
Moreno Valley,City,Riverside,"208,634","193,365"
Morgan Hill,City,Santa Clara,"45,483","37,882"
Morro Bay,City,San Luis Obispo,"10,757","10,234"
Mount Shasta,City,Siskiyou,"3,223","3,394"
Mountain View,City,Santa Clara,"82,376","74,066"
Murrieta,City,Riverside,"110,949","103,466"
Napa,City,Napa,"79,246","76,915"
National City,City,San Diego,"56,173","58,582"
Needles,City,San Bernardino,"4,931","4,844"
Nevada City,City,Nevada,"3,152","3,068"
Newark,City,Alameda,"47,529","42,573"
Newman,City,Stanislaus,"12,351","10,224"
Newport Beach,City,Orange,"85,239","85,186"
Norco,City,Riverside,"26,316","27,063"
Norwalk,City,Los Angeles,"102,773","105,549"
Novato,City,Marin,"53,225","51,904"
Oakdale,City,Stanislaus,"23,181","20,675"
Oakland,City,Alameda,"440,646","390,724"
Oakley,City,Contra Costa,"43,357","35,432"
Oceanside,City,San Diego,"174,068","167,086"
Ojai,City,Ventura,"7,637","7,461"
Ontario,City,San Bernardino,"175,265","163,924"
Orange,City,Orange,"139,911","134,616"
Orange Cove,City,Fresno,"9,649","9,078"
Orinda,City,Contra Costa,"19,514","17,643"
Orland,City,Glenn,"8,298","7,291"
Oroville,City,Butte,"20,042","15,546"
Oxnard,City,Ventura,"202,063","197,899"
Pacific Grove,City,Monterey,"15,090","15,041"
Pacifica,City,San Mateo,"38,640","37,234"
Palm Desert,City,Riverside,"51,163","48,445"
Palm Springs,City,Riverside,"44,575","44,552"
Palmdale,City,Los Angeles,"169,450","152,750"
Palo Alto,City,Santa Clara,"68,572","64,403"
Palos Verdes Estates,City,Los Angeles,"13,347","13,438"
Paradise,Town,Butte,"4,764","26,218"
Paramount,City,Los Angeles,"53,733","54,098"
Parlier,City,Fresno,"14,576","14,494"
Pasadena,City,Los Angeles,"138,699","137,122"
Paso Robles,City,San Luis Obispo,"31,490","29,793"
Patterson,City,Stanislaus,"23,781","20,413"
Perris,City,Riverside,"78,700","68,386"
Petaluma,City,Sonoma,"59,776","57,941"
Pico Rivera,City,Los Angeles,"62,088","62,942"
Piedmont,City,Alameda,"11,270","10,667"
Pinole,City,Contra Costa,"19,022","18,390"
Pismo Beach,City,San Luis Obispo,"8,072","7,655"
Pittsburg,City,Contra Costa,"76,416","63,264"
Placentia,City,Orange,"51,824","50,533"
Placerville,City,El Dorado,"10,747","10,389"
Pleasant Hill,City,Contra Costa,"34,613","33,152"
Pleasanton,City,Alameda,"79,871","70,285"
Plymouth,City,Amador,"1,078","1,005"
Point Arena,City,Mendocino,460,449
Pomona,City,Los Angeles,"151,713","149,058"
Port Hueneme,City,Ventura,"21,954","21,723"
Porterville,City,Tulare,"62,623","54,165"
Portola,City,Plumas,"2,100","2,104"
Portola Valley,Town,San Mateo,"4,456","4,353"
Poway,City,San Diego,"48,841","47,811"
Rancho Cordova,City,Sacramento,"79,332","64,776"
Rancho Cucamonga,City,San Bernardino,"174,453","165,269"
Rancho Mirage,City,Riverside,"16,999","17,218"
Rancho Palos Verdes,City,Los Angeles,"42,287","41,643"
Rancho Santa Margarita,City,Orange,"47,949","47,853"
Red Bluff,City,Tehama,"14,710","14,076"
Redding,City,Shasta,"93,611","89,861"
Redlands,City,San Bernardino,"73,168","68,747"
Redondo Beach,City,Los Angeles,"71,576","66,747"
Redwood City,City,San Mateo,"84,292","76,815"
Reedley,City,Fresno,"25,227","24,194"
Rialto,City,San Bernardino,"104,026","99,171"
Richmond,City,Contra Costa,"116,448","103,701"
Ridgecrest,City,Kern,"27,959","27,616"
Rio Dell,City,Humboldt,"3,379","3,368"
Rio Vista,City,Solano,"10,005","7,360"
Ripon,City,San Joaquin,"16,013","14,297"
Riverbank,City,Stanislaus,"24,865","22,678"
Riverside,City,Riverside,"314,998","303,871"
Rocklin,City,Placer,"71,601","56,974"
Rohnert Park,City,Sonoma,"44,390","40,971"
